id,transaction_no,purchase_date,buyer_id,payment_type,supplier,total_amount,status,notes,created_at,updated_at,receipt_url,receiver_id,is_confirmed,confirmed_at,receipt_urls,payment_card_id
e3691c48-1576-410e-8534-9274efa2373e,INS-251116-0303-HP6700,2025-11-16,942fc6ec-4459-459c-9abb-2c11dc911dda,corp_card,김해장유롯데,4029330.00,completed,[인서구매리스트] 브랜드: 아디다스,2026-01-12 07:22:57.69338+00,2026-01-16 07:28:10.551088+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:12:32.057205,[],
fecd813c-c002-4a3c-8e2f-dec62fd1ce25,DHB-251107-0555-IV7570,2025-11-07,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",0.00,completed,[다희구매리스트] 브랜드: 아디다스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
beb5f93a-fd2e-4c1a-a3ac-a5caf61328bf,DHB-251103-0554-NJ3NR55J,2025-11-03,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",238000.00,completed,[다희구매리스트] 브랜드: 노스페이스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
6b06816b-b9b7-4fd7-a9a1-352192b0aa55,DHB-251028-0553-CU9225-100,2025-10-28,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",636000.00,completed,[다희구매리스트] 브랜드: 슈프림,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
776fe9de-c40e-4ad3-8bc2-bb0e695af333,DHB-251020-0552-헬리아드15_BK,2025-10-20,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",1950000.00,completed,[다희구매리스트] 브랜드: 아크테릭스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
b61ab2b2-1e9b-49b1-9315-5fe5c69c4f9f,DHB-251012-0551-헬리아드15_BK,2025-10-12,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",9000000.00,completed,[다희구매리스트] 브랜드: 아크테릭스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
acbc871b-cf9b-4895-8a2a-176268b264ae,DHB-251005-0550-아톰 후디 SV,2025-10-05,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",5643000.00,completed,[다희구매리스트] 브랜드: 아크테릭스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
e750d97e-f889-48c3-b98d-2054d223eff4,DHB-251002-0549-NJ1DR96B,2025-10-02,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",2154000.00,completed,[다희구매리스트] 브랜드: 노스페이스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
2e06876b-57fa-4cb7-8e71-c62309c5b15f,DHB-251001-0548-SUFFIX PUFFER_GR,2025-10-01,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",298000.00,completed,[다희구매리스트] 브랜드: 산산기어,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
28b4caa6-4d39-44cd-ac9f-7a730cca07f4,DHB-250930-0547-3923980,2025-09-30,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",378000.00,completed,[다희구매리스트],2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
ab23057f-507f-49b8-adb8-915847c87b0a,DHB-250925-0546-제니 이어폰,2025-09-25,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",538000.00,completed,[다희구매리스트] 브랜드: 애플,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
7251027b-5c13-4876-a5e8-efa4e13d7423,DHB-250923-0545-NJ1DR96B,2025-09-23,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",0.00,completed,[다희구매리스트],2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
63a4cfcd-c57c-44df-9762-5b77617539ed,DHB-250923-0544-NJ3NR54K,2025-09-23,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",0.00,completed,[다희구매리스트],2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
eaa36816-15d1-40b3-970e-e8d2a77d2f7c,DHB-250923-0542-3973980,2025-09-23,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",0.00,completed,[다희구매리스트],2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
fe46172a-6992-4bfc-a26d-19f145317a03,DHB-250923-0538-JP7009,2025-09-23,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,파주신세계,7665000.00,completed,[다희구매리스트] 브랜드: 아디다스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
4270aeb6-6d72-4b38-8f58-1e89ba78a204,DHB-250923-0540-NJ3NR54J,2025-09-23,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",0.00,completed,[다희구매리스트],2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
89bd1c10-db18-40d2-a004-81d5d27af992,DHB-250923-0539-IY9879,2025-09-23,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,이천,1881600.00,completed,[다희구매리스트] 브랜드: 아디다스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
943eae9f-c3b3-40dd-934c-218996ffaf1d,DHB-250923-0543-3993980,2025-09-23,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",0.00,completed,[다희구매리스트],2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
2bb4a115-e725-4986-b0a8-ec0eb5a7be99,DHB-250923-0541-3973980,2025-09-23,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",0.00,completed,[다희구매리스트],2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
30d0988d-697a-4428-bc24-5fde0c5d00d3,DHB-250918-0537-NJ3NR54K,2025-09-18,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",792000.00,completed,[다희구매리스트] 브랜드: 노스페이스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
9ac43b2f-050e-4e9c-8dad-fbce8d546297,DHB-250918-0535-NJ3NR54L,2025-09-18,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",396000.00,completed,[다희구매리스트] 브랜드: 노스페이스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
77d1035a-f19f-43f8-92b3-39bc8886af40,DHB-250918-0534-NJ1DR96B,2025-09-18,5967fb39-fa27-4b28-b204-7f0c092d2ab3,personal_card_dahee,"",3690000.00,completed,[다희구매리스트] 브랜드: 노스페이스,2026-01-12 07:43:48.54703+00,2026-01-12 17:33:33.222977+00,,282eb623-eb61-4e89-bc18-0b112bb54d68,t,2026-01-12 16:17:27.715491,[],
